編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,南投縣私立尚德老人養護中心,黃登郁,名間鄉,55148南投縣名間鄉東湖村2鄰山腳巷54-20號,049-2738847,養護,44,96.02,23.865306,120.704092
2,私立,南投縣私立祥和長期照顧中心(養護型),陳平州,名間鄉,55148南投縣名間鄉東湖村15鄰彰南路256-1巷100、101號,049-2739868,養護,48,93.03,23.8546457,120.6955154
3,私立,南投縣私立同心居老人養護中心,陳威成,竹山鎮,55141南投縣竹山鎮雲林里33鄰大仁路199巷2號,049-2635717,養護,46,94.11,23.7549099,120.6768557
4,私立,南投縣私立慈愛老人養護中心,傅文興,竹山鎮,55757南投縣竹山鎮雲林里34鄰大勇路21號,049-2655669,養護,48,89.11,23.7573197,120.6745374
5,私立,南投縣私立億安養護中心,陳旻含,竹山鎮,55751南投縣竹山鎮延和里4鄰大和街258號,049-2658342,長照,16,91.02,23.7640668,120.6933667
5,私立,南投縣私立億安養護中心,陳旻含,竹山鎮,55751南投縣竹山鎮延和里4鄰大和街258號,049-2658342,養護,18,91.02,23.7640668,120.6933667
6,私立,財團法人南投縣私立南投仁愛之家,吳光新,南投市,54058南投縣南投市三興里39鄰民族路617號,049-2222151,養護,108,66.09,23.9056341,120.67583
6,私立,財團法人南投縣私立南投仁愛之家,吳光新,南投市,54058南投縣南投市三興里39鄰民族路617號,049-2222151,安養       ,39,66.09,23.9056341,120.67583
7,私立,財團法人南投縣私立傑瑞社會福利基金會附設南投縣私立傑瑞老人安養中心,陳本源,南投市,54059南投縣南投市三興里31鄰嶺興路210-3號,049-2230990,長照,66,80.05,23.900051,120.657586
7,私立,財團法人南投縣私立傑瑞社會福利基金會附設南投縣私立傑瑞老人安養中心,陳本源,南投市,54059南投縣南投市三興里31鄰嶺興路210-3號,049-2230990,養護,302,80.05,23.900051,120.657586
7,私立,財團法人南投縣私立傑瑞社會福利基金會附設南投縣私立傑瑞老人安養中心,陳本源,南投市,54059南投縣南投市三興里31鄰嶺興路210-3號,049-2230990,安養,70,80.05,23.900051,120.657586
8,私立,南投縣私立仁和長期照顧中心(長期照護型),何年春,南投市,54065南投縣南投市平山里仁和路14號,049-2263166,長照 ,48,97.04,23.92332,120.6724751
9,私立,南投縣私立千恩老人長期照顧中心(養護型),盧忠義,南投市,54059南投縣南投市文化路322號,049-2225577,養護 ,48,98.01,23.9102765,120.6754176
10,私立,南投縣私立東山長期照顧中心(養護型),蕭博銘,南投市,54052南投縣南投市東山里2鄰東山路13之1號,049-2207008,養護,48,99.12,23.9228758,120.7154228
11,私立,南投縣私立佳尚好長期照顧中心(養護型),廖麗卿,南投市,54063南投縣南投市彰南路2段672巷65號,049-2258879,養護,24,103.02,23.9231321,120.678723
12,私立,南投縣私立慈嘉長期照顧中心(養護型),張維華,南投市,南投縣南投市彰南路2段672巷92號,049-2257507,養護,43,104.06,23.9230991,120.6797946
13,私立,財團法人臺灣省私立光明仁愛之家,張勝安,埔里鎮,南投縣埔里鎮蜈蚣里鯉魚路25-3號,049-2984506*9,長照,87,70.01,23.9599486,121.0037522
13,私立,財團法人臺灣省私立光明仁愛之家,張勝安,埔里鎮,南投縣埔里鎮蜈蚣里鯉魚路25-3號,049-2984506*9,養護,33(含2管16床),70.01,23.9599486,121.0037522
14,私立,財團法人利河伯社會福利基金會附設臺灣省私立基督仁愛之家,林永基,埔里鎮,南投縣埔里鎮福興里福興路146巷48號,049-2930390,安養,33,87.04,24.0072864,120.9755114
14,私立,財團法人利河伯社會福利基金會附設臺灣省私立基督仁愛之家,林永基,埔里鎮,南投縣埔里鎮福興里福興路146巷48號,049-2930390,養護,107,87.04,24.0072864,120.9755114
15,私立,南投縣私立寶優養護中心,葉淑慧,草屯鎮,54252南投縣草屯鎮新豐里6鄰稻香路25-27號,049-2336848,養護,49,88.01,23.998417,120.685446
16,私立,南投縣私立保生長期照顧中心(養護型),洪璧如,草屯鎮,54254南投縣草屯鎮敦和里33鄰博愛路689號,049-2354107,養護,30,101.03,23.9872993,120.6759075
17,私立,南投縣私立博愛長期照顧中心,李花守,草屯鎮,54256南投縣草屯鎮明正里29鄰博愛路470號,049-2381777,長照,49,101.1,23.9871549,120.684467
