編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,嘉義市私立博仁老人養護中心,陳志仁,西區,嘉義市西區保安里12鄰北社尾路49號,05-2372088,養護,49(含插2管24床),88.05,23.4917998,120.4284371
2,私立,嘉義市私立國泰長期照護中心,黃振南,西區,嘉義市西區港坪里2鄰育人路329號,05-2861126,長照,49,88.05,23.4726942,120.4133997
3,私立,嘉義市私立誠泰老人長期照顧中心〈養護型〉,游啟揚,西區,嘉義市西區劉厝里16鄰大賢路148號,05-2366317,養護,49(含插2管15床),102.02,23.4626838,120.4146474
4,私立,財團法人嘉義市私立瑞泰老人長期照護中心,陳蔡美惠,西區,嘉義市西區劉厝里15鄰玉山路669號,05-2352600,長照,90,90.09,23.4685366,120.4144869
5,私立,嘉義市私立安心老人長期照顧中心（長期照護型）,胡景文,西區,嘉義市西區湖內里25鄰南京路279號,05-2861654,長照,46,104.05,23.4603572,120.4366387
6,私立,財團法人臺灣省私立嘉義博愛仁愛之家,?振明,東區,嘉義市東區太平里林森東路235號,05-2762306,安養,56,66.08,23.4886066,120.4630368
6,私立,財團法人臺灣省私立嘉義博愛仁愛之家,?振明,東區,嘉義市東區太平里林森東路235號,05-2762306,養護,200,66.08,23.4886066,120.4630368
7,私立,財團法人臺灣省私立嘉義仁愛之家,張南薰,東區,嘉義市東區芳草里草地尾8號,05-2250065,養護,173(含2管養護86床),65.05,23.4669845,120.4639545
8,私立,財團法人臺灣省私立嘉義濟美仁愛之家,陳錦煌,東區,嘉義市東區圳頭里3鄰盧義路361號,05-2766130 ,安養,89,60.01,23.4931184,120.4830536
8,私立,財團法人臺灣省私立嘉義濟美仁愛之家,陳錦煌,東區,嘉義市東區圳頭里3鄰盧義路361號,05-2766130 ,養護,108,60.01,23.4931184,120.4830536
10,私立,嘉義市私立慈保老人養護中心,賀守芬,東區,嘉義市東區長竹里6鄰大雅路二段234巷8、10、12、14、16、18號,05-2769992,養護,40(含插2管12床),88.07,23.4786688,120.4771179
11,私立,嘉義市私立宏仁老人養護中心,蕭亦夫,東區,嘉義市東區荖藤里3鄰荖藤宅28之1號,05-2318756,養護,41(含插2管15床),93.07,23.5083829,120.4450306
12,私立,嘉義市私立展順老人長期照護中心,張咸宜,東區,嘉義市東區頂庄里5鄰義教街585巷33號,05-2783023,長照,40,94.06,23.4975369,120.4579607
13,私立,嘉義市私立新仁友老人長期照護中心（養護型）,陳郁雯,東區,嘉義市東區北門里7鄰民權路332巷38號,05-2786603,養護,49(含插2管15床),96.10.,23.4842446,120.4645499
14,私立,嘉義市私立金蓮園老人長期照顧中心（養護型）,郭美君,東區,嘉義市東區後庄里2鄰林森東路875號,05-2741616,養護,49(含插2管15床),99.04,23.4915594,120.469728
15,私立,嘉義市私立梅香園老人長期照顧中心（長照型）,郭皇村,東區,嘉義市東區後庄里2鄰林森東路877號,05-2741717,長照,15,99.05,23.4915594,120.469728
16,私立,財團法人嘉義市私立保康社會福利慈善事業基金會附設嘉義市私立保康老人長期照顧中心（長照型）,吳英賓,東區,嘉義市東區後湖里17鄰保順路121號,05-2715565,失智,18,100.02,23.5056477,120.45049
16,私立,財團法人嘉義市私立保康社會福利慈善事業基金會附設嘉義市私立保康老人長期照顧中心（長照型）,吳英賓,東區,嘉義市東區後湖里17鄰保順路121號,05-2715565,長照,178,100.02,23.5056477,120.45049
17,私立,嘉義市私立仁友老人長期照顧中心（養護型）,陳郁雯,東區,嘉義市東區社口里1鄰文化路254-1號,05-2786604,養護, 49(含插2管15床),101.01,23.481237,120.450371
18,私立,嘉義市私立鴻海老人長期照顧中心（養護型）,趙羅慧淑,東區,嘉義市東區荖藤里荖藤宅87號,05-2318518,長照,12,104.1,23.5101154,120.4422606
18,私立,嘉義市私立鴻海老人長期照顧中心（養護型）,趙羅慧淑,東區,嘉義市東區荖藤里荖藤宅87號,05-2318518,養護,37(含插2管15床),104.1,23.5101154,120.4422606
