編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,基隆市私立長青老人養護中心,唐志彥,七堵區,基隆市七堵區八德里5鄰八德路21號2樓及21之1號1樓,02-24329690,養護,30(含插2管15床),88.6,25.112869,121.726723
2,私立,基隆市私立無量壽老人養護中心,楊德芳,七堵區,基隆市七堵區正明里14鄰開元路138號2至5樓及140號1至5樓,02-24555167,養護,43(含插2管15床),92.1,25.0953923,121.711015
3,私立,基隆市私立宏安老人長期照顧中心(養護型),王姿懿,七堵區,基隆市七堵區長興里29鄰東新街91號2樓,02-24553517,養護,29(含插2管12床),103.8,25.09458,121.7212324
4,私立,基隆市私立健慈老人長期照顧中心（養護型）,賴振原,七堵區,基隆市七堵區堵北里14鄰福2街205號,02-24526532,養護,46(含插2管20床),98.12,25.0861049,121.695488
5,私立,基隆市私立愛心老人長期照顧中心(養護型),楊雪文,七堵區,基隆市七堵區堵北里16鄰福一街162號2樓,02-24524532,養護,42(含插2管18床),103.5.1,25.084482,121.6949456
6,私立,基隆市私立福慧老人長期照顧中心（養護型）,陳立洋,安樂區,基隆市安樂區武聖街內寮里3鄰12號,02-24320418,養護,31(含插2管14床),100.1,25.157027,121.6959276
7,私立,基隆市私立中正老人養護中心,林明吉,中正區,基隆市中正區平寮里14鄰平一路274號2-4樓.276號2-4樓,02-24637000,養護,47(含插2管15床),94.1,25.1583491,121.7636288
8,私立,基隆市私立祥安老人長期照顧中心（養護型）,邱春蘭,中正區,基隆市中正區正砂里19鄰中正路99號2樓、2樓之1、2樓之2,02-24629990,養護,30(含插2管15床),100.1,25.1421677,121.7613845
9,私立,基隆市私立宏欣老人養護中心,鄭太迎,中正區,基隆市中正區正砂里5鄰正榮街28之6號2樓.50號1樓.51號1樓,02-24620285,養護,24(含插2管10床),88.1,25.1451699,121.761871
10,私立,基隆市私立慈安老人長期照顧中心（養護型）,施冠榮,仁愛區,基隆市仁愛區文昌里6鄰忠二路55號4樓,02-24276592,養護,31(含插2管12床),98.7,25.1304444,121.738992
11,私立,基隆市私立仁安老人長期照顧中心（養護型）,楊松烈,仁愛區,基隆市仁愛區文昌里6鄰忠二路55號5樓,02-24276692,養護,31(含插2管12床),98.7,25.1304444,121.738992
12,私立,基隆市私立逸嘉老人長期照顧中心（養護型）,李清文,仁愛區,基隆市仁愛區同風里11鄰忠4路13號7樓,02-24288092,養護,39(含插2管15床),98.8,25.1279722,121.7395374
13,私立,基隆市私立聯安老人長期照顧中心（養護型）,林漢昌,仁愛區,基隆市仁愛區和明里7鄰愛五路34號7樓,02-24241071,養護,47(含插2管15床),100.2,25.1288877,121.7460553
14,公設民營,財團法人臺北市私立恆安老人長期照顧中心(長期照護型)承辦基隆市立仁愛之家養護大樓,胡世賢,安樂區,基隆市安樂區干城里17鄰安一路370巷1之5號,02-24216299,養護,230(含插2管57床),91.3,25.1341873,121.7275243
15,公立,基隆市立仁愛之家,楊明達,安樂區,基隆市安樂區干城里17鄰安一路370巷1號,02-24241186,安養,394,61.12,25.1341873,121.7275243
16,私立,基隆市私立志心老人養護中心,顏陳守義,安樂區,基隆市安樂區六合里24鄰樂利三街189號.193號1樓,02-24323632,養護,24(含插2管10床),89.5,25.1275553,121.7139656
17,私立,基隆市私立安安老人養護中心,陳俊成,安樂區,基隆市安樂區六合里24鄰樂利三街201號.203號1樓,02-24337079,養護,20(含插2管10床),89.7,25.1277768,121.7144048
18,私立,基隆市私立祝安老人養護中心,楊松烈,安樂區,基隆市安樂區定國里2鄰定國街11巷49.50.51號2樓,02-24213300,養護,24(含插2管10床),89.5,25.1345231,121.7322016
19,私立,基隆市私立順逸老人養護中心,謝長明,安樂區,基隆市安樂區新崙里22鄰基金一路210巷58號,02-24340129,養護,49(含插2管20床),90.5,25.1458767,121.7084216
20,私立,基隆市私立深美老人長期照顧中心(養護型),吳宜靜,信義區,基隆市信義區教忠里20鄰教忠街37號,02-24685311,養護,33(含插2管16床),104.4,25.1351102,121.7777954
