編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,公設民營,財團法人感恩社會福利慈善基金會承辦羅東鎮養護所,朱桂英,羅東鎮,宜蘭縣羅東鎮維揚路132號,03-9610078,養護,176(含2管60床),95.08,24.6720771,121.7597281
2,私立,財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞老人長期照顧中心(養護型),王  綢,羅東鎮,宜蘭縣羅東鎮北成路1段17號2、3、4樓,03-9512060,養護,65(含2管30床),78.12,24.6750367,121.7631103
2,私立,財團法人天主教靈醫修女會附設宜蘭縣私立瑪利亞老人長期照顧中心(養護型),王  綢,羅東鎮,宜蘭縣羅東鎮北成路1段17號2、3、4樓,03-9512060,長照,41,78.12,24.6750367,121.7631103
3,私立,財團法人宜蘭縣私立天主教弘道仁愛之家,洪山川,南澳鄉,宜蘭縣南澳鄉蘇花路2段251號,03-9981059,安養,36,74.5,24.4646251,121.8001896
4,私立,財團法人宜蘭縣私立竹林養護院,林棖壬,礁溪鄉,宜蘭縣礁溪鄉六結路151號,03-9889357,養護,100(含2管40床),84.7,24.813094,121.775209
5,私立,財團法人宜蘭縣私立親水園養護之家,陳玉雲,五結鄉,宜蘭縣五結鄉季水路15巷46號,03-9500180,養護,64(含2管32床)   ,91.1,24.675551,121.83001
5,私立,財團法人宜蘭縣私立親水園養護之家,陳玉雲,五結鄉,宜蘭縣五結鄉季水路15巷46號,03-9500180,長照,64(含2管32床)   ,91.1,24.675551,121.83001
6,私立,財團法人宜蘭縣私立鴻德養護院,彭愛珠,員山鄉,宜蘭縣員山鄉中華村冷水路17號,03-9231106,養護,174(含插2管44床),96.4,24.6960052,121.6326646
7,私立,財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型),吳茂坤,宜蘭市,宜蘭縣宜蘭市舊城北路177號,03-9354176,養護,66,97.9,24.760422,121.7518432
7,私立,財團法人宜蘭縣私立宏仁老人長期照顧中心(養護型),吳茂坤,宜蘭市,宜蘭縣宜蘭市舊城北路177號,03-9354176,長照,22,97.9,24.760422,121.7518432
8,私立,財團法人天主教靈醫會附設宜蘭縣私立聖嘉民老人長期照顧中心(養護型),呂若瑟,三星鄉,宜蘭縣三星鄉大隱村三星路2段103號,03-9898806,養護,107(含2管37床),98.7,24.6667867,121.7056161
8,私立,財團法人天主教靈醫會附設宜蘭縣私立聖嘉民老人長期照顧中心(養護型),呂若瑟,三星鄉,宜蘭縣三星鄉大隱村三星路2段103號,03-9898806,長照,15,98.7,24.6667867,121.7056161
9,私立,財團法人宜蘭縣私立慈愛養護院,林哲弘,五結鄉,宜蘭縣五結鄉親河路2段58巷78號,03-9606000,養護,72(含2管28床),100.12,24.6734191,121.8126393
9,私立,財團法人宜蘭縣私立慈愛養護院,林哲弘,五結鄉,宜蘭縣五結鄉親河路2段58巷78號,03-9606000,長照,56,100.12,24.6734191,121.8126393
10,私立,財團法人宜蘭縣私立力麗樂活老人長期照顧中心(養護型),郭濟安,五結鄉,宜蘭縣五結鄉中正路三段21號2-6樓,03-9650736,養護,80,102.8,24.7082,121.770961
10,私立,財團法人宜蘭縣私立力麗樂活老人長期照顧中心(養護型),郭濟安,五結鄉,宜蘭縣五結鄉中正路三段21號2-6樓,03-9650736,長照,20,102.8,24.7082,121.770961
11,私立,財團法人天主教白永恩神父社會福利基金會附設宜蘭縣私立聖方濟老人長期照顧中心（養護型）,谷聲野,頭城鎮,頭城鎮開蘭東路1之1號,03-9771132,養護,25,80.08,24.8543221,121.821974
12,私立,宜蘭縣私立杏林老人長期照顧中心(養護型),江柏村,冬山鄉,宜蘭縣冬山鄉清溝村永安路389號,03-9587985,養護,49(含2管24床),88.5,24.6626547,121.7644958
