編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,公立,衛生福利部南區老人之家,許慧麗,屏東市,瑞光里香揚巷1號,08-7223434、08-7233281,安養,47,65.07,22.6636656,120.5087658
1,公立,衛生福利部南區老人之家,許慧麗,屏東市,瑞光里香揚巷1號,08-7223434、08-7233281,養護,123,65.07,22.6636656,120.5087658
1,公立,衛生福利部南區老人之家,許慧麗,屏東市,瑞光里香揚巷1號,08-7223434、08-7233281,長照,24,65.07,22.6636656,120.5087658
1,公立,衛生福利部南區老人之家,許慧麗,屏東市,瑞光里香揚巷1號,08-7223434、08-7233281,失智,36,65.07,22.6636656,120.5087658
2,私立,財團法人台灣省私立孝愛仁愛之家,黃懌憬,潮州鎮,四維路189巷13號,08-7882351、08-7880411,安養,49,63.08,22.5542459,120.5459725
2,私立,財團法人台灣省私立孝愛仁愛之家,黃懌憬,潮州鎮,四維路189巷13號,08-7882351、08-7880411,養護,95(含插2管28床),63.08,22.5542459,120.5459725
3,私立,財團法人屏東縣私立長青老人養護中心,楊永琦,長治鄉,榮華村信義路55號,08-7620915,養護,108(含插2管30床),89.06,22.6702327,120.5690949
4,私立,財團法人屏東縣私立清境家園社會福利慈善事業基金會附設屏東縣私立清境家園老人長期照護中心,顏麗珠,屏東市,湖南里歸禮巷2-36號,08-7533557,長照             ,87,93.05,22.641812,120.5062419
4,私立,財團法人屏東縣私立清境家園社會福利慈善事業基金會附設屏東縣私立清境家園老人長期照護中心,顏麗珠,屏東市,湖南里歸禮巷2-36號,08-7533557,養護,82,93.05,22.641812,120.5062419
4,私立,財團法人屏東縣私立清境家園社會福利慈善事業基金會附設屏東縣私立清境家園老人長期照護中心,顏麗珠,屏東市,湖南里歸禮巷2-36號,08-7533557,失智,12,93.05,22.641812,120.5062419
5,私立,財團法人屏東縣私立椰子園老人養護之家,蘇政君,長治鄉,繁昌村振興路16之9號,08-7621111、08-7624127,養護,156(含插2管54床),100.05,22.709909,120.581034
6,私立,財團法人屏東縣私立枋寮老人養護中心,黃炳爵,枋寮鄉,隆山村中正大路32號,08-8788784,養護,48(含插2管15床),91.02,22.3635447,120.6098088
7,私立,財團法人屏東縣私立永安老人養護中心,陳榮泉,恆春鎮,網紗里大埔路8號,08-8899720、08-8899721,養護,152(含插2管60床),91.11,22.020406,120.74115
8,私立,財團法人屏東縣私立聖欣老人養護中心,邱鎮光,鹽埔鄉,永隆村大山街22號,08-7031468  ,養護,150(含插2管30床),93.07,22.759007,120.5297911
9,私立,財團法人屏東縣私立國淳社會福利慈善事業基金會附設屏東縣私立琉璃光老人長期照顧中心(失智型),林美淳,竹田鄉,竹田村自強路8號,08-7710308,失智,36,101.01,22.5885549,120.5518212
9,私立,財團法人屏東縣私立國淳社會福利慈善事業基金會附設屏東縣私立琉璃光老人長期照顧中心(失智型),林美淳,竹田鄉,竹田村自強路8號,08-7710308,養護,40(含插管15床),101.01,22.5885549,120.5518212
10,私立,財團法人台灣基督長老教會原住民宣道會附設屏東縣私立春日老人長期照顧中心(養護型),閥塯．馬哼哼,春日鄉,春日村98-1號,08-8781900,養護,32(含插2管14床),101.04,22.368642,120.624097
11,私立,屏東縣私立慈暉老人長期照顧中心（養護型）,陳郁麒,屏東市,大洲里2鄰大洲75-3號,08-7537991、08-7533821,養護,49(含插2管23床),102.08,22.6392717,120.4639282
12,私立,屏東縣私立天佑老人長期照顧中心（養護型）,王桂英,屏東市,大連里建豐路65號,08-7380117、08-7380151,養護,48(含插2管20床),89.02,22.678847,120.507067
13,私立,屏東縣私立安德老人養護中心,林育西,屏東市,文明里桂林街106號,08-7336595,養護,30(含插2管6床),92.03,22.6711955,120.4826285
14,私立,屏東縣私立上佳老人長期照顧中心(養護型),汪亭佑,屏東市,北興里21鄰公裕街296號,08-7335999,養護,36(含插2管15床),100.12,22.6912967,120.4933618
15,私立,屏東縣私立菩提樹老人長期照顧中心(養護型),陳奇村,屏東市,北興里永吉街50號,08-7328433,養護,42(含插2管12床),92.09,22.6893378,120.4924009
