編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,財團法人彰化縣私立慈恩老人養護中心,謝明月,二林鎮,彰化縣二林鎮華崙里光復路61巷20號,04-8681199,長照,55,91.2,23.9511341,120.443548
1,私立,財團法人彰化縣私立慈恩老人養護中心,謝明月,二林鎮,彰化縣二林鎮華崙里光復路61巷20號,04-8681199,養護,143,91.2,23.9511341,120.443548
2,私立,彰化縣私立北斗老人養護中心,鐘錫地,北斗鎮,彰化縣北斗鎮東光里地政路17號,04-8877631,養護,48(含插2管23床),88.6,23.874239,120.5358704
3,私立,財團法人彰化縣私立葳群公益慈善事業基金會附設彰化縣私立葳群老人長期照顧中心(養護型),林亮暉,永靖鄉,彰化縣永靖鄉福興村永福路二段218號,04-8246888,長照,30,100.11,23.9187116,120.5213486
3,私立,財團法人彰化縣私立葳群公益慈善事業基金會附設彰化縣私立葳群老人長期照顧中心(養護型),林亮暉,永靖鄉,彰化縣永靖鄉福興村永福路二段218號,04-8246888,養護,156,100.11,23.9187116,120.5213486
4,公立,衛生福利部中區老人之家,陳彥丞,田中鎮,彰化縣田中鎮碧峰里中南路2段210號,04-8742811,安養,175,63.7,23.8560141,120.6160617
4,公立,衛生福利部中區老人之家,陳彥丞,田中鎮,彰化縣田中鎮碧峰里中南路2段210號,04-8742811,養護,150,63.7,23.8560141,120.6160617
4,公立,衛生福利部中區老人之家,陳彥丞,田中鎮,彰化縣田中鎮碧峰里中南路2段210號,04-8742811,長照,15,63.7,23.8560141,120.6160617
4,公立,衛生福利部中區老人之家,陳彥丞,田中鎮,彰化縣田中鎮碧峰里中南路2段210號,04-8742811,遊民,50,63.7,23.8560141,120.6160617
5,私立,彰化縣私立田尾老人養護中心,劉素珍,田尾鄉,彰化縣田尾鄉睦宜村聖德巷261號,04-8831262,養護,40(含插2管19床),91.2,23.884028,120.549689
6,私立,彰化縣私立明昇老人養護中心,詹鋕平,田尾鄉,彰化縣田尾鄉睦宜村睦宜路22號,04-8837395,長照,10,96.1,23.8787434,120.549251
6,私立,彰化縣私立明昇老人養護中心,詹鋕平,田尾鄉,彰化縣田尾鄉睦宜村睦宜路22號,04-8837395,養護,39,96.1,23.8787434,120.549251
7,私立,彰化縣私立博愛老人養護中心,薛勝銓,田尾鄉,彰化縣田尾鄉南鎮村平和路1段73號,04-8238338,養護,41,96.3,23.8894583,120.5581096
8,私立,彰化縣私立主光老人養護中心,楊靜薰,伸港鄉,彰化縣田尾鄉南鎮村平和路1段73號,04-7980892,長照,24,96.11,23.8894583,120.5581096
8,私立,彰化縣私立主光老人養護中心,楊靜薰,伸港鄉,彰化縣田尾鄉南鎮村平和路1段73號,04-7980892,長照,24,96.11,23.8894583,120.5581096
8,私立,彰化縣私立主光老人養護中心,楊靜薰,伸港鄉,彰化縣田尾鄉南鎮村平和路1段73號,04-7980892,養護,24,96.11,23.8894583,120.5581096
9,私立,彰化縣私立寶贊老人養護中心,郭鎮村,秀水鄉,彰化縣秀水鄉福安村民意街165巷19號,04-7680316,養護,29,89.2,24.0312341,120.4939492
10,私立,彰化縣私立賜福老人長期照顧中心(養護型),李婉蕊,秀水鄉,彰化縣秀水鄉陜西村水尾巷2號,04-7686830,養護,30,97.4,24.0014488,120.5236466
10,私立,彰化縣私立賜福老人長期照顧中心(養護型),李婉蕊,秀水鄉,彰化縣秀水鄉陜西村水尾巷2號,04-7686830,長照,5,97.4,24.0014488,120.5236466
11,私立,彰化縣私立福澤老人長期照顧中心(長期照護型),梁奕淼,秀水鄉,彰化縣秀水鄉福安村民意街187巷40號,04-7680007,長照,20,101.09,24.0311506,120.4932692
12,私立,彰化縣私立立安老人長期照顧中心(養護型),陶玫伊,秀水鄉,彰化縣秀水鄉鶴明村6鄰明山街70-2號,04-7685493,養護,14,103.06,24.055956,120.501603
13,私立,彰化縣私立大眾老人養護中心,莊建賢,和美鎮,彰化縣和美鎮源埤里德南路18號,04-7626552,長照,12,91.8,24.0816109,120.516133
13,私立,彰化縣私立大眾老人養護中心,莊建賢,和美鎮,彰化縣和美鎮源埤里德南路18號,04-7626552,養護,13,91.8,24.0816109,120.516133
14,私立,彰化縣私立和慷老人養護中心,陳佑墀,和美鎮,彰化縣和美鎮雅溝里鹿和路5段301巷25號,04-7560007,長照,10,94.9,24.1006639,120.490788
14,私立,彰化縣私立和慷老人養護中心,陳佑墀,和美鎮,彰化縣和美鎮雅溝里鹿和路5段301巷25號,04-7560007,養護,24,94.9,24.1006639,120.490788
15,私立,彰化縣私立慈美老人長期照顧中心(長期照護型),洪彩雲,和美鎮,彰化縣和美鎮西美路183號,04-7568497,長照,27,101.6,24.1220869,120.4876698
16,私立,彰化縣私立一尚安老人養護中心,龔榮茂,社頭鄉,彰化縣社頭鄉社頭村中山路三段60巷288弄60號,04-8736035,長照,8,93.4,23.9087144,120.5826844
16,私立,彰化縣私立一尚安老人養護中心,龔榮茂,社頭鄉,彰化縣社頭鄉社頭村中山路三段60巷288弄60號,04-8736035,養護,33,93.4,23.9087144,120.5826844
17,私立,財團法人彰化縣私立珍瑩老人養護中心,蕭珮瑄,社頭鄉,彰化縣社頭鄉仁和村山腳路2段726巷23號,04-8721297、04-8721298,養護,45,83.6,23.9119416,120.609088
18,私立,財團法人彰化縣私立愛如心老人養護中心,賴照發,芬園鄉,彰化縣芬園鄉舊社村中興路376號,049-2520986,養護,39,91.1,24.03217,120.6066167
18,私立,財團法人彰化縣私立愛如心老人養護中心,賴照發,芬園鄉,彰化縣芬園鄉舊社村中興路376號,049-2520986,長照,38,91.1,24.03217,120.6066167
19,私立,彰化縣私立芬園老人養護中心,呂來春,芬園鄉,彰化縣芬園鄉大竹村大彰路1段458號,04-8590760,養護,27,96.1,23.96035,120.630094
19,私立,彰化縣私立芬園老人養護中心,呂來春,芬園鄉,彰化縣芬園鄉大竹村大彰路1段458號,04-8590760,長照,9,96.1,23.96035,120.630094
20,私立,彰化縣私立馨園老人長期照護中心,李淑春,花壇鄉,彰化縣花壇鄉白沙村溪北街17號,04-7878847,長照,49,92.1,24.0433305,120.5459849
21,私立,財團法人彰化縣私立茉莉園社會福利慈善事業基金會附設彰化縣私立茉莉園老人長期照顧中心(長期照護型),蔡進興,花壇鄉,彰化縣花壇鄉北口村彰花路651巷37號,04-7519088,長照,198,97.6,24.0459477,120.5241387
22,私立,彰化縣私立通堡老人長期照護中心(長期照護型),張宗智,花壇鄉,彰化縣花壇鄉中庄村中山路1段40巷88號,04-7877538,長照,49,97.1,24.011796,120.552173
23,私立,彰化縣私立龍慶老人養護中心,郭月娥,花壇鄉,彰化縣花壇鄉三春村後厝2巷41弄3號,04-7878407,養護,48,88.12,24.0153871,120.5692529
24,私立,彰化縣私立聖仁老人長期照護中心(長期照護型),薛裕仁,花壇鄉,彰化縣花壇鄉三春村後厝1巷12弄36號,04-7877779,長照,49,96.12,24.015588,120.568542
25,私立,彰化縣私立健民老人養護中心,賴春蓮,埤頭鄉,彰化縣埤頭鄉溪林路177-1號,04-8898382,養護,25,89.05.02,23.846762,120.463932
25,私立,彰化縣私立健民老人養護中心,賴春蓮,埤頭鄉,彰化縣埤頭鄉溪林路177-1號,04-8898382,長照,24,89.05.02,23.846762,120.463932
26,私立,彰化縣私立良安老人長期照護中心,周志威,員林鎮,彰化縣員林鎮新生里新義街85號3樓,04-8397555,長照,40,95.2,23.9574269,120.5675144
27,私立,彰化縣私立伍倫惠來老人養護中心,林右崇,員林鎮,彰化縣員林鎮惠來里光明街77號,04-8326161,養護,42,89.6,23.9533881,120.573585
28,私立,彰化縣私立惠親老人養護中心,張陳玉發,員林鎮,彰化縣員林鎮崙雅里崙雅巷5-27號,04-8310331,長照,20,95.12,23.9467316,120.5958398
28,私立,彰化縣私立惠親老人養護中心,張陳玉發,員林鎮,彰化縣員林鎮崙雅里崙雅巷5-27號,04-8310331,養護,29,95.12,23.9467316,120.5958398
29,私立,財團法人彰化縣私立廣成老人安養中心,蔡東龍,員林鎮,彰化縣員林鎮振興里員水路1段102巷76號,04-8337536,安養,56,79.12,23.9507762,120.6029375
29,私立,財團法人彰化縣私立廣成老人安養中心,蔡東龍,員林鎮,彰化縣員林鎮振興里員水路1段102巷76號,04-8337536,養護,45,79.12,23.9507762,120.6029375
30,私立,彰化縣私立大員林老人長期照顧中心(養護型),吳憲政,員林鎮,彰化縣員林鎮林厝里5鄰員南路360號,04-8394888,養護,34,103.04,23.9392752,120.6031935
30,私立,彰化縣私立大員林老人長期照顧中心(養護型),吳憲政,員林鎮,彰化縣員林鎮林厝里5鄰員南路360號,04-8394888,長照,15,103.04,23.9392752,120.6031935
31,私立,彰化縣私立友福老人長期照顧中心(養護型),黃大堯,埔心鄉,彰化縣埔心鄉羅厝村羅永路49-9號1樓,04-8285720,養護,45,98.5,23.933419,120.514664
32,私立,彰化縣私立羅厝老人長期照顧中心(養護型),黃大本,埔心鄉,彰化縣埔心鄉羅厝村羅永路49-8號,04-8285720,養護,33,99.11,23.933419,120.514664
32,私立,彰化縣私立羅厝老人長期照顧中心(養護型),黃大本,埔心鄉,彰化縣埔心鄉羅厝村羅永路49-8號,04-8285720,長照,8,99.11,23.933419,120.514664
