編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,公立,衛生福利部北區老人之家,李春國,新店區,新店區屈尺路83號,26668034,安養,190,35.03,24.9218409,121.5450923
1,公立,衛生福利部北區老人之家,李春國,新店區,新店區屈尺路83號,26668034,養護,51,35.03,24.9218409,121.5450923
1,公立,衛生福利部北區老人之家,李春國,新店區,新店區屈尺路83號,26668034,長照,17,35.03,24.9218409,121.5450923
2,公設民營,衛生福利部北區老人之家頤苑自費安養中心,馬漢光,新店區,新店區屈尺路84號,26660105,安養,332,35.03,24.9227166,121.5456458
3,私立,財團法人台灣省私立台北仁濟院附設仁濟安養所,林明成,淡水區,淡水區中正東路2段153號,28095600,安養,122,48.04,25.1466141,121.4596908
4,私立,財團法人臺灣省私立健順養護中心,黃禎祥,深坑區,深坑區昇高村王軍寮9號,26622499,養護,76,82.11,24.982454,121.6163028
4,私立,財團法人臺灣省私立健順養護中心,黃禎祥,深坑區,深坑區昇高村王軍寮9號,26622499,長照,40,82.11,24.982454,121.6163028
4,私立,財團法人臺灣省私立健順養護中心,黃禎祥,深坑區,深坑區昇高村王軍寮9號,26622499,失智,18,82.11,24.982454,121.6163028
5,私立,財團法人新北市私立台灣天主教安老院,顧志珍,八里區,八里區中山路1段33號,26102034,安養,53,61.05,25.1590251,121.4205613
5,私立,財團法人新北市私立台灣天主教安老院,顧志珍,八里區,八里區中山路1段33號,26102034,養護,25(含插2管10床),61.05,25.1590251,121.4205613
6,私立,新北市私立長勤老人長期照顧中心（養護型),高唯斯,三芝區,三芝區長勤街63號、63 號2樓、63號3樓、63號4樓,26366887,養護,49(含插2管24床),100.09,25.2558127,121.5017307
7,私立,財團法人臺灣基督長老教會雙連教會附設新北市私立雙連安養中心,薛淑玲,三芝區,三芝區後厝里北勢子22-17號,26365999,安養,212,84.07,25.2526498,121.4743623
7,私立,財團法人臺灣基督長老教會雙連教會附設新北市私立雙連安養中心,薛淑玲,三芝區,三芝區後厝里北勢子22-17號,26365999,養護,154(含插2管50床),84.07,25.2526498,121.4743623
7,私立,財團法人臺灣基督長老教會雙連教會附設新北市私立雙連安養中心,薛淑玲,三芝區,三芝區後厝里北勢子22-17號,26365999,失智,66,84.07,25.2526498,121.4743623
8,私立,新北市私立鴻澄老人長期照顧中心(養護型),王麗芬,三重區,三重區三和路2段30號3樓、3樓之1、3樓之2、3樓之3、3樓之4,29791130,養護,35(含插2管17床),104.03,25.0678649,121.5004599
9,私立,新北市私立大德老人養護中心,陳麗芬,三重區,三重區三和路4段103-1號4樓,22870889,養護,48(含插2管23床),95.1,25.076852,121.487183
10,私立,新北市私立長庚老人長期照顧中心（養護型）,黃淑貞,三重區,三重區三和路4段95之1號2樓、3樓,22819099,養護,29(含插2管14床),100.01,25.0742837,121.4903617
