編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,新竹市私立人瑞老人長期照顧中心(養護型),吳自強,北區,新竹市金雅里公道五路四段547號,03-5330080,養護,38(含插2管19床),103.10.25,24.8286315,120.9625264
2,私立,財團法人基督教中華協力會附設新竹市私立伯大尼老人養護中心,林忠雄,北區,新竹市南勢里延平路一段491號,03-5244222,養護,48(含插2管22床),93.01,24.804876,120.945607
3,私立,新竹市私立名伸老人養護中心,胡月桃,北區,新竹市古賢里東大路三段232巷2號 ,03-5366472,養護,22(含插2管11床),93.08,24.8298269,120.9556668
4,私立,新竹市私立松慈老人養護中心,陳世杰,北區,新竹市士林里東大路2段65巷36號 ,03-5355366,養護,42(含插2管21床),98.08,24.823097,120.959909
5,私立,新竹市私立慈慧老人長期照顧中心(養護型),林正宜,北區,新竹市新民里新民街27之1號及新竹市新民街33巷9號,03-5266200,養護,48(含插2管24床),101.1,24.8083191,120.963281
6,私立,財團法人台灣省私立桃園仁愛之家附設新竹老人養護中心,李震淮,北區,新竹市興南里西門街116號,03-5285585,養護   ,200(含插2管30床),89.05,24.8016493,120.9635669
7,私立,新竹市私立欣安老人長期照顧中心(養護型),陳昱夫,東區,新竹市振興里南大路428號2樓、3樓,03-5629737,養護,43(含插2管21床),105.01.26,24.79717,120.9686741
8,私立,新竹市私立青草湖長壽老人養護中心,黃俊傑,東區,新竹市柴橋里明湖路1006巷102弄1、2、4號,03-5293859,養護,30(含插2管14床),95.01,24.7718526,120.9629683
9,私立,新竹市私立仙樂園老人長期照顧中心(養護型),陳李佳璉,香山區,新竹市中隘里中華路六段647巷75弄1之3號,03-5371155,養護,34(含插2管17床),88.04,24.7319563,120.9156532
10,私立,新竹市私立懷親老人養護中心,黃金水,香山區,新竹市海山里中華路五段599巷3號,03-5377686,養護,43(含插2管21床),99.1,24.761056,120.9127529
11,私立,新竹市私立弘愛老人長期照顧中心(養護型),張弘達,東區,新竹市北區東大路三段180號,03-5366906,養護,43(含插2管21床),105.01,24.832604,120.9522646
12,私立,新竹市私立建嘉老人長期照顧中心(養護型),林寶鳳,香山區,新竹市美山里中華路五段392、396號,03-5386677,養護,48(含插2管15床),97.03,24.7787041,120.918294
