編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,新竹縣私立弘欣老人長期照顧中心(養護型),黃吉寶,竹北,30282新竹縣竹北市鳳岡路2段295號,03-5562159,養護,49,91.06,24.8596188,120.9759645
2,公設民營,財團法人台灣省天主教會新竹教區辦理竹北市老人安養中心,李克勉,竹北,30264新竹縣竹北市福興東路一段353號,03-5500797,安養,25,91.06,24.8176736,121.0256611
2,公設民營,財團法人台灣省天主教會新竹教區辦理竹北市老人安養中心,李克勉,竹北,30264新竹縣竹北市福興東路一段353號,03-5500797,養護,24,91.06,24.8176736,121.0256611
3,私立,新竹縣私立建安長期照顧中心(養護型),謝煒峰,竹北,30259新竹縣竹北市博愛街298巷9號,03-5537221,養護,49,96.11.19,24.8346906,121.0079704
4,私立,新竹縣私立馨緣老人長期照顧中心(養護型),?進源,竹北,30265新竹縣竹北市聯興里9鄰環北路三段216號,03-5533850,養護,49(安養25床；養護24床),105.12.08,24.8494008,120.9971235
5,私立,新竹縣私立立慈養護中心,盧國郎,新豐,30445新竹縣新豐鄉鳳坑村8鄰720之2號,03-5571694,養護,49,91.06,24.8971731,120.9698354
6,私立,新竹縣私立廣慈長期照顧中心(養護型),孫桂珠,新豐,30445新竹縣新豐鄉鳳坑村8鄰720之3號,03-5577407,養護,49,97.10.09,24.8971731,120.9698354
7,私立,新竹縣私立康福長期照顧中心(養護型),彭柏硯,新豐,30447新竹縣新豐鄉後湖村11鄰十一股12之1號,03-5688925,養護,49,101.10.2,24.926499,121.025691
8,私立,財團法人台灣省天主教會新竹教區附設新竹縣私立長安老人養護中心,李克勉,竹東,31044新竹縣竹東鎮長安路130號,03-5943987,養護,150,83.05.27,24.7359744,121.0910285
9,私立,新竹縣私立慈恩養護中心,林明光,竹東,31051新竹縣竹東鎮東峰路340號,03-5946566,養護,37,91.06,24.7118886,121.0980665
10,私立,新竹縣私立萱苑養護中心,林俊豪,關西,30642新竹縣關西鎮北斗里11鄰光復路160號,03-5870018,養護,45,91.06,24.79625,121.1758341
11,私立,新竹縣私立瑪琍亞養護中心,劉瑞美,芎林,30746新竹縣芎林鄉秀湖村富林路一段399巷21號,03-5937055,養護,32,92.02,24.7356766,121.1183474
12,私立,財團法人新竹縣私立保順養護中心,呂榮初,芎林,307新竹縣芎林鄉福昌街148號,03-5922299,養護,189,93.9.24,24.74711,121.102154
12,私立,財團法人新竹縣私立保順養護中心,呂榮初,芎林,307新竹縣芎林鄉福昌街148號,03-5922299,失智,11,93.9.24,24.74711,121.102154
13,私立,新竹縣私立長春長期照顧中心,鄭玉蓮,湖口,30342新竹縣湖口鄉達生路326號,03-5996854,養護,49,102.12.31,24.9013828,121.0499937
14,私立,新竹縣私立勝光長期照顧中心(養護型),田清玲,湖口,30372新竹縣湖口鄉湖鏡村八德路二段10號,03-5692978,養護,45,97.11.10,24.8779609,121.055546
15,私立,新竹縣私立新湖長期照顧中心(養護型),莊碧雲,湖口,30345新竹縣湖口鄉信義村千湖路38巷20號3樓,03-5997808,養護,48,97.11.20,24.8833749,121.0348871
16,私立,新竹縣私立竹光長期照顧中心(養護型),莊育興,湖口,30345新竹縣湖口鄉信義村千湖路38巷20號1-2樓,03-5999519,養護,48,97.11.28,24.8833749,121.0348871
17,私立,新竹縣私立德欣老人長期照顧中心(養護型),莊添寶,湖口,30347新竹縣湖口鄉八德路二段713號,03-5691118,養護,37(含插2管18床),105.08.01,24.8870455,121.084789
18,私立,新竹縣私立新埔家園長期照顧中心(養護型),方國祥,新埔,30544新竹縣新埔鎮關埔路水車頭段338號,03-5888893,養護,43,101.02.10,24.8182841,121.072343
19,私立,財團法人台灣省私立桃園仁愛之家附設新竹縣私立新埔長期照顧中心(養護型),李震淮,新埔,30548新竹縣新埔鎮旱坑里18鄰義民路1段566巷71、73、75、77號,03-5886460,長照,60,102.07.31,24.8318868,121.0650348
19,私立,財團法人台灣省私立桃園仁愛之家附設新竹縣私立新埔長期照顧中心(養護型),李震淮,新埔,30548新竹縣新埔鎮旱坑里18鄰義民路1段566巷71、73、75、77號,03-5886460,養護,80,102.07.31,24.8318868,121.0650348
19,私立,財團法人台灣省私立桃園仁愛之家附設新竹縣私立新埔長期照顧中心(養護型),李震淮,新埔,30548新竹縣新埔鎮旱坑里18鄰義民路1段566巷71、73、75、77號,03-5886460,失智,60,102.07.31,24.8318868,121.0650348
