編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,財團法人,財團法人臺灣省私立永信社會福利基金會附設臺中市私立松柏園老人養護中心,李敏雄,大甲區,437臺中市大甲區頂店里成功路319號,04-26760180,養護,161(含插2管57床),90.11,24.3601194,120.6481
2,私立,臺中市私立大甲老人養護中心,潘海濤,大甲區,437臺中市大甲區順天里五福街59、61號1樓~3樓,04-26865058,養護,22(含插2管11床),91.02,24.3474361,120.6200044
3,私立,臺中市私立永和老人長期照顧中心(養護型),林富美,大甲區,437臺中市大甲區文武里育英路128號,04-26870788,養護,48(含插2管24床),98.02,24.3525973,120.6245685
4,私立,臺中市私立大愛老人養護中心,陳慧英,大里區,412臺中市大里區勝利二路60號,04-24854188,養護,45,88.11,24.100687,120.686716
5,私立,臺中市私立毓祥老人養護中心,蕭陳淑貞,大里區,412臺中市大里區大元里中興路二段73號,04-24831380,養護,33(含插2管16床),90.03,24.0976449,120.686651
6,私立,臺中市私立清心老人養護中心,柯文華,大里區,412臺中市大里區大元里內元路158號,04-24864567,養護,49(含插2管15床),90.05,24.0986155,120.689954
7,私立,台中市私立全家老人養護中心,廖明琳,大里區,412臺中市大里區大元里東里路77號1、2樓,04-24180505,養護,49(含插2管24床),96.01,24.0957549,120.6796205
8,私立,財團法人台灣省私立菩提仁愛之家,簡金武,大里區,臺中市大里區西榮里1鄰中興路2段619號,04-24837148,養護,297(含插2管56床),53.01,24.1151615,120.6895075
9,私立,臺中市私立健德老人養護中心,童鄭寶月,大雅區,428臺中市大雅區六寶里光復路2-5號,04-25604290,長照,6,95.04,24.2349438,120.6282659
9,私立,臺中市私立健德老人養護中心,童鄭寶月,大雅區,428臺中市大雅區六寶里光復路2-5號,04-25604290,養護,43(含插2管10床),95.04,24.2349438,120.6282659
10,私立,台中市私立溫興長期照顧中心(養護型),賴興建,中區,400中市中區雙十路一段19巷6號,04-22230938,養護,15(含插2管7床),102.03,24.141011,120.6850447
11,私立,台中市私立麗安老人長期照顧中心(養護型),張軒維,中區,400臺中市中區成功路341號3、4樓,04-22250345,長照,16,103.3,24.1452029,120.6777284
11,私立,台中市私立麗安老人長期照顧中心(養護型),張軒維,中區,400臺中市中區成功路341號3、4樓,04-22250345,養護,32(含插2管15床),103.3,24.1452029,120.6777284
12,公立,臺中市立仁愛之家,蘇淑貞,北屯區,406臺中市北屯區軍功里軍功路二段490號,04-22392074(蔡主任*1200),安養,100,62.01,24.1840727,120.7200816
12,公立,臺中市立仁愛之家,蘇淑貞,北屯區,406臺中市北屯區軍功里軍功路二段490號,04-22392074(蔡主任*1200),養護,400,62.01,24.1840727,120.7200816
13,私立,台中市私立真善美老人養護中心,陳志銘,北屯區,406臺中市北屯區三和里東山路一段50巷63號,04-24363201 04-24369228,養護,29(含插2管14床),91.05,24.1669117,120.7020989
14,私立,台中市私立惠恩老人養護中心,張惠珍,北屯區,406臺中市北屯區仁美里崇德路三段746巷90號,04-24223627,養護,45(含插2管21床),89.07,24.204792,120.6878796
15,私立,臺中市私立同心居老人養護中心,陳龍飛,北屯區,406臺中市北屯區仁和里崇德十路二段266號,04-24225880 04-24225958,養護,49(含插2管15床),92.07,24.1910731,120.6780336
