編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,公立,臺北市立浩然敬老院,張婌文,北投區,臺北市北投區關渡里016鄰知行路76號,02-28585352,安養,261,75.02,25.1182931,121.4681425
1,公立,臺北市立浩然敬老院,張婌文,北投區,臺北市北投區關渡里016鄰知行路76號,02-28585352,養護,139,75.02,25.1182931,121.4681425
2,公立,臺北市政府社會局老人自費安養中心,許立民,文山區,臺北市文山區忠順里009鄰興隆路4段109巷30弄6號,02-29393147,安養,378,71.12,24.986284,121.562475
3,公設民營,臺北市至善老人安養護中心,馬漢光,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,02-28832666 ,安養 ,153,92.12,25.1019103,121.5432482
3,公設民營,臺北市至善老人安養護中心,馬漢光,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,02-28832666 ,養護 ,236(含插2管46床)              ,92.12,25.1019103,121.5432482
3,公設民營,臺北市至善老人安養護中心,馬漢光,士林區,臺北市士林區永福里001鄰仰德大道2段2巷50號,02-28832666 ,長照 ,82,92.12,25.1019103,121.5432482
4,公設民營,臺北市文山老人養護中心,王仁宏,文山區,臺北市文山區興豐里016鄰興隆路2段95巷8號3~6樓,02-89313190,養護  ,46(含插2管21床),90.02,25.0000207,121.5468861
5,公設民營,臺北市兆如老人安養護中心,胡世賢,文山區,臺北市文山區政大里005鄰政大二街129號,02-86616365,安養,189,91.02,24.9889307,121.5842995
5,公設民營,臺北市兆如老人安養護中心,胡世賢,文山區,臺北市文山區政大里005鄰政大二街129號,02-86616365,養護,132(含插2管66床),91.02,24.9889307,121.5842995
5,公設民營,臺北市兆如老人安養護中心,胡世賢,文山區,臺北市文山區政大里005鄰政大二街129號,02-86616365,長照,132,91.02,24.9889307,121.5842995
6,私立,財團法人台灣基督教道生院附設臺北市私立道生院老人長期照顧中心(養護型),李正剛,北投區,臺北市北投區秀山里002鄰中和街錫安巷112號1.2樓及地下1樓,02-28936161,養護,88(含插2管43床),100.01,25.1477248,121.5004801
7,私立,財團法人臺北市私立愛愛院,陳?松,萬華區,臺北市萬華區糖?里006鄰大理街175巷27號,02-23060493,養護,238(含插2管115床),48.11,25.0345597,121.4955271
8,私立,財團法人臺北市私立仁愛頤養園,陳玉梅,內湖區,臺北市內湖區瑞陽里008鄰文德路 66巷99號1~8樓,02-26582226,安養,45,88.06,25.075909,121.582455
9,私立,財團法人臺北市私立恆安老人長期照顧中心(長期照護型),胡世賢,萬華區,臺北市萬華區騰雲里004鄰水源路187號,02-23327973,長照,117,83.01,25.0236602,121.510904
10,私立,財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟失智老人養護中心,洪山川,萬華區,臺北市萬華區保德里001鄰德昌街125巷11號1~4樓、13號1樓,02-23046715~6、02-23046602,失智,64,90.03,25.0236399,121.4969309
11,私立,臺北市私立豪門老人長期照顧中心(養護型),張妤安,北投區,臺北市北投區大同里013鄰大業路452巷2號6~9樓,02-28954492,養護,42(含插2管21床),105.11.16,25.1316729,121.4973149
12,私立,臺北市私立奇里岸老人長期照顧中心(養護型),張桂英,北投區,臺北市北投區立農里013鄰西安街2段245號1.2樓,02-28275139,養護,36(含插2管18床),105.06.29,25.1202381,121.5082363
13,私立,臺北市私立祐心老人長期照顧中心(養護型),黃成德,士林區,臺北市士林區名山里 009鄰至誠路1段305巷3弄14號1-2樓,02-28310432,養護,16(含插2管8床),97.09,25.1014327,121.5310149
14,私立,臺北市私立安安老人長期照顧中心(養護型),林姿君,北投區,臺北市北投區奇岩里003鄰公館路194、196號1樓,02-28953298,養護,12(含插2管6床),97.09,25.1281036,121.5072316
15,私立,臺北市私立荷園老人長期照顧中心(養護型),徐慶鼎,士林區,臺北市士林區富光里010鄰葫蘆街33號2~3樓,02-28163696,養護,39(含插2管19床),102.06.03,25.080042,121.5097046
16,私立,臺北市私立軒儀老人長期照顧中心(養護型),盧嘉富,萬華區,臺北市萬華區華江里028鄰和平西路3段384號1樓,02-23088661,養護,47(含插2管23床),98.07,25.0352879,121.4911247
17,私立,臺北市私立景興老人長期照顧中心(養護型),吳清璇,文山區,臺北市文山區景行里021鄰景興路222號3樓,02-29349412,養護,38(含插2管19床),98.09,24.9909965,121.5434509
18,私立,臺北市私立吉祥老人長期照顧中心(養護型),黃玉珍,文山區,臺北市文山區木柵里004鄰木柵路3段85巷8弄4-1、4-2號1樓及2、2-1、2-2、4、4-1、4-2號2樓,02-22343511,養護,43(含插2管21床),98.12,24.9892599,121.56728
19,私立,臺北市私立龍江老人長期照顧中心(養護型),吳第明,中山區,臺北市中山區力行里007鄰長安東路1段63號4樓,02-25672208,養護,37(含插2管18床),88.07,25.0487328,121.5272126
20,私立,臺北市私立唯新尊榮老人長期照顧中心(養護型),劉霈琪,大同區,臺北市大同區建泰里019鄰太原路97巷4、6號,02-25501118,養護,49(含插2管24床),99.02,25.052117,121.516046
21,私立,臺北市私立松竹園老人長期照護中心,林素滿,中山區,臺北市中山區晴光里013鄰雙城街32巷1號4~5樓,02-25987802,長照,30,94.02,25.066245,121.5239447
22,私立,臺北市私立美安老人長期照顧中心(養護型),吳米加,文山區,臺北市文山區景慶里001鄰溪口街1巷5號3-4樓,02-29316388,養護,45(含插2管22床),99.07,24.994002,121.540105
23,私立,臺北市私立璞園老人長期照顧中心(養護型),黃台生,士林區,臺北市士林區富光里010鄰葫蘆街33號4、5、6樓,02-28163696,養護,46(含插2管23床),102.06.03,25.080042,121.5097046
24,私立,臺北市私立三園老人長期照顧中心(養護型),劉偉如,文山區,臺北市文山區景行里002鄰車前路12號3-4樓,02-29329053,養護,48(含插2管24床),99.1,24.991538,121.540954
25,私立,臺北市私立景安老人長期照顧中心(養護型),高倪雪,文山區,臺北市文山區景慶里001鄰溪口街1巷5號1~2樓,02-29325698,養護,41(含插2管18床),99.12,24.994065,121.5407548
26,私立,臺北市私立敦煌老人長期照顧中心(養護型),林素滿,大同區,臺北市大同區重慶里014鄰敦煌路80巷3號及3-1號1樓,02-25945133,養護,29(含插2管14床),90.02,25.0748841,121.5174874
27,私立,臺北市私立松園老人長期照顧中心(養護型),冉筠佩,士林區,臺北市士林區蘭雅里 020鄰德行東路61巷1、2、3號1~2樓,02-88662097,養護,49(含插2管24床),88.02,25.1078967,121.5282269
28,私立,臺北市私立文德老人長期照顧中心(養護型),江光輝,內湖區,臺北市內湖區紫陽里011鄰陽光街70-2、70-3、72、72-1號1樓,02-26581303,養護,31(含插2管15床),94.12,25.0764092,121.5862251
