編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,台南市私立祐健老人養護中心,李明鎧,中西區,臺南市中西區開山路86號2樓、90號2、3樓,06-2260303,養護,28(含插2管10床),89.11,22.9899109,120.2067252
2,私立,台南市私立慈心老人養護中心,黃秋源,中西區,臺南市中西區臨安路1段193號1-2樓,06-2586999,養護,42(含插2管21床),105.07,23.0009483,120.1926363
3,私立,台南市私立慈善老人養護中心,李財教,中西區,臺南市中西區府前一街9巷12弄77、79號,06-2994591 ,養護,45(含插2管11床),91.04,22.9940097,120.1877041
4,私立,臺南市私立慈恩老人長期照顧中心(養護型),陳錦蓉,中西區,臺南市中西區臨安路1段193號3-4樓,06-2501843,養護,49(含插2管24床),105.09,23.0009483,120.1926363
5,私立,財團法人台南市基督教青年會社會福利慈善事業基金會附設台南市私立臨安老人養護中心,吳道昌,中西區,臺南市中西區民權路3段370號,06-3583000,養護,68,97.08,22.998867,120.189521
6,私立,財團法人台南市私立林澄輝社會福利慈善事業基金會附設臺南市私立璐德老人長期照顧中心(養護型),黃德成,中西區,臺南市中西區西和路100號,06-3588670,養護,92(含插2管20床),105.04,23.0004892,120.1891043
7,私立,台南市私立長佳老人養護中心,白金慧,東區,臺南市東區崇學路230巷59號2、3樓,06-2676812 ,養護,49(含插2管13床),94.12,22.9805867,120.2266763
8,私立,台南市私立佑惠老人養護中心,王清益,東區,臺南市東區自由路2段176號1-2樓,06-2695457,養護,21(含插2管10床),95.04,22.9733028,120.2367398
9,私立,台南市私立愛惠老人養護中心,鄭美惠,東區,臺南市臺南市東區東門路2段236號,06-2684254,養護,28(含插2管10床),95.01,22.984591,120.2243688
10,私立,台南市私立崇善老人養護中心,顏雅鈴,東區,臺南市東區崇善路1089巷57號,06-3364911   ,養護,45(含插2管15床),89.08,22.9648214,120.2358982
11,私立,台南市私立中華老人養護中心,張勝龍,東區,臺南市東區崇善路741號,06-3356320,養護,19,89.1,22.9688158,120.2312155
12,私立,台南市私立平安老人養護中心,林子晴,東區,臺南市東區崇明二十街23號,06-2602050,養護,49(含插2管15床),95.11,22.969321,120.2267458
13,私立,台南市私立千慈老人養護中心,黃國彰,東區,臺南市東區崇道路139號,06-2906407,養護,35(含插2管12床),95.05,22.9723733,120.2292057
