編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,財團法人台東縣私立台東仁愛之家,李壬癸,臺東市,臺東縣臺東市豐年里中興路3段549號,089-227592  ,養護,119(含插2管55床),78.7,22.7715534,121.1086759
2,私立,台東縣私立一心老人養護中心,孫嘉鴻,臺東市,臺東縣臺東市豐榮里正氣北路339巷19號,089-338358,養護,18(含插2管8床),87.12,22.7521307,121.1350776
3,私立,台東縣私立愛心老人養護中心,伍振雄,臺東市,台東縣台東市仁三街252號,089-227846  ,養護,32(含插2管15床),88.7,22.7675485,121.1427668
4,私立,財團法人北部台灣基督長老教會東部中會附設台東縣私立長青老人養護中心,陳明輝,臺東市,臺東縣臺東市新興里鐵花路51號,089-358406,養護,70(含插2管15床),90.6,22.7480125,121.1523407
5,私立,台東縣私立大愛老人養護中心,趙美玉,臺東市,臺東縣臺東市豐榮里仁義北路165號,089-346129,養護,40(含插2管15床),95.6,22.7502566,121.1384344
6,私立,財團法人台東縣私立柏林老人養護中心,劉松癸,臺東市,臺東縣臺東市豐里里重慶路831號,089-339985,養護,162(含插2管32床),94.5,22.7253392,121.1272961
6,私立,財團法人台東縣私立柏林老人養護中心,劉松癸,臺東市,臺東縣臺東市豐里里重慶路831號,089-339985,長照,30,94.5,22.7253392,121.1272961
7,私立,臺東縣私立九如長期照顧中心(養護型),張俊一,臺東市,臺東縣臺東市民生里寧波街21巷35號,089-348386,養護,12(含插2管6床),97.4,22.7601449,121.1470043
8,私立,台東縣私立豐禾老人養護中心,王豐彥,臺東市,臺東縣臺東市豐谷里中華路2段618巷17號,089-346552,養護,16(含插2管8床),98.4,22.7415202,121.1278568
9,私立,臺東縣私立慈心老人長期照顧中心(養護型),陳佳伶,臺東市,臺東縣臺東市東海里桂林北路75號,089-342378,養護,48(含插2管24床),99.4,22.748726,121.1439105
10,私立,台東縣私立仁和養護中心,劉和蘴,卑南鄉,臺東縣卑南鄉利嘉村627巷31弄16號,089-383477  ,養護,49(含插2管24床),91.1,22.7721699,121.0665845
11,私立,財團法人台東縣天主教聖十字架慈愛修女會附設天主教私立聖十字架療養院,高定妹,關山鎮,臺東縣關山鎮中福里中正路55號,089-811073  ,養護,40(含插2管20床),79.6,23.0498214,121.1614682
12,私立,臺東縣私立太麻里老人長期照顧中心（養護型）,朱自強,太麻里,臺東縣太麻里鄉泰和村13鄰外環路220號,089-780699*333,養護,46(含插2管20床),100.6,22.6055588,121.0037331
13,私立,臺東縣私立利嘉老人長期照顧中心（養護型）,莊林素玉,卑南鄉,臺東縣卑南鄉利嘉村627巷31弄20號,089-385204,養護,48(含插2管24床),102.2,22.7732889,121.0639424
