編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,花蓮縣私立長青老人養護中心,陳桂松,玉里鎮,花蓮縣玉里鎮大禹里酸柑1鄰11之2號,03-8980299,養護,49(含插2管24床),90.8,23.3539423,121.326946
2,私立,財團法人花蓮縣私立博愛居安廬老人長期照顧中心【養護型】,廖美燕,吉安鄉,花蓮縣吉安鄉吉安村吉昌一街258巷11號,03-8529789,養護,90床(含插2管27床),87.6,23.9730862,121.5614761
3,私立,財團法人中華基督教伯特利會總會附設花蓮縣私立長榮養護院,彭貴稜,吉安鄉,花蓮縣吉安鄉光華村4鄰華城5街550號,03-8420122,養護,100(含插2管50床),92.9,23.930424,121.558853
4,私立,花蓮縣私立長生老人長期照顧中心【養護型】,楊文景,吉安鄉,花蓮縣吉安鄉東昌村東海10街243號,03-8542258,養護,49(含插2管24床),105.5,23.9608397,121.6001818
5,私立,花蓮縣私立祥安養護中心,黎煥祥,吉安鄉,花蓮縣吉安鄉宜昌村19鄰荳蘭七街28號,03-8531432,養護,48(含插2管24床),89.7,23.973104,121.580418
6,私立,花蓮縣私立全民養護中心,譚瑞美,吉安鄉,花蓮縣吉安鄉北昌村建昌路185號,03-8572877,養護,48(含插2管24床),89.7,23.9893281,121.5912964
7,私立,花蓮縣私立崇恩長期照顧中心【長期照護型】,陳文成,吉安鄉,花蓮縣吉安鄉東昌村8鄰東海6街81號,03-8522020,長照,28,101.3,23.9660099,121.5959401
8,私立,花蓮縣私立長春老人養護之家,張金蘭,吉安鄉,花蓮縣吉安鄉南華村十五鄰南華2街295號,03-8549946,養護,38(含插2管19床),92.11,23.9571052,121.5505139
9,私立,花蓮縣私立祥雲老人長期照顧中心【長期照護型】,黎光承,吉安鄉,花蓮縣吉安鄉吉安村10鄰中興路101號,03-8511095,長照,49,101.7,23.9701465,121.5717241
10,私立,花蓮縣私立惠馨長期照顧中心【長期照護型】,陳秋英,吉安鄉,花蓮縣吉安鄉永興村全民街27號,03-8528868,長照,32,102.4,23.9384418,121.5715085
11,私立,花蓮縣私立富康老人長期照顧中心【養護型】,蘇裕翔,吉安鄉,花蓮縣吉安鄉太昌村2鄰明義二街28號,03-8571151,養護,49(含插2管20床),104.1,23.9906976,121.5702042
12,私立,花蓮私立慈暉老人長期照顧中心【養護型】,蔡淑美,秀林鄉,花蓮縣秀林鄉景美村1鄰加灣17之33號,03-8264597,養護,49(含插2管24床),90.7,24.0762628,121.6060346
13,公立,衛生福利部東區老人之家,郭國龍,花蓮市,花蓮縣花蓮市民立里民權路125號,03-8226053、03-8221148,安養,140,37.1,23.9894922,121.6269366
13,公立,衛生福利部東區老人之家,郭國龍,花蓮市,花蓮縣花蓮市民立里民權路125號,03-8226053、03-8221148,養護,160,37.1,23.9894922,121.6269366
13,公立,衛生福利部東區老人之家,郭國龍,花蓮市,花蓮縣花蓮市民立里民權路125號,03-8226053、03-8221148,長照,8,37.1,23.9894922,121.6269366
13,公立,衛生福利部東區老人之家,郭國龍,花蓮市,花蓮縣花蓮市民立里民權路125號,03-8226053、03-8221148,失智,12,37.1,23.9894922,121.6269366
14,私立,財團法人天主教會花蓮教區附設花蓮縣私立聲遠老人養護之家,黃兆明,新城鄉,花蓮縣新城鄉新城村博愛路31號,03-8610075,養護,54(含插2管27床),84.11,24.126595,121.651409
15,私立,財團法人花蓮縣私立吉豐老人養護所,陳秋英,壽豐鄉,花蓮縣壽豐鄉平和村23鄰吳全96之10號,03-8664998,養護,180(含插2管90床),93.4,23.889248,121.553308
