編號,屬性,機構名稱,負責人,區域別,地址,電話,收容對象,核定收容人數,立案日期,Latitude,Longitude
1,私立,高雄市私立仁祥養護之家,張素真,三民,高雄市三民區九如一路299、301號1-5樓,07-3973255,養護,47(含插2管23床),95.08,22.6378953,120.3342367
2,私立,高雄市私立富華養護中心,蕭金富,三民,高雄市三民區九如二路150號15樓之1,07-3161076,養護,46(含插2管23床),90.07,22.6410482,120.3091375
3,私立,高雄市私立天誠老人養護中心,謝榮寬,三民,高雄市三民區九如二路150號5樓之1,07-3125009,養護,49(含插2管24床),88.12,22.6410482,120.3091375
4,私立,高雄市私立新松柏養護之家,楊麗珠,三民,高雄市三民區十全里十全二路323號4樓,07-3229507,養護,43(含插2管21床),88.02,22.64596,120.294042
5,私立,高雄市私立安大老人長期照顧中心(長期照顧型),徐愛齡,三民,高雄市三民區大昌二路268號3樓,07-3978666,長照,49,102.05,22.646341,120.332373
6,私立,高雄市私立普祐老人長期照顧中心(養護型),陳奎妙,三民,高雄市三民區立業里自立1路226號4樓,07-3232938,養護,37(含插2管15床),97.08,22.641181,120.296553
7,私立,高雄市私立春暉老人長期照顧中心(養護型),李秉勳,三民,高雄市三民區安和里松江街348號,07-3228986,養護,30(含插2管10床),96.12,22.6489604,120.3044263
8,私立,高雄市私立高生老人養護中心,侯淑惠,三民,高雄市三民區安和里博愛一路372號6樓,07-3138636,養護,30(含插2管15床),88.12,22.6509423,120.3039686
9,私立,高雄市私立信心養護中心,吳明峰,三民,高雄市三民區自由一路61號1-2樓,07-3137999,養護,40(含插2管20床),93.12,22.642714,120.308409
10,私立,高雄市私立永康老人養護中心,陳翊靖,三民,高雄市三民區長明里建國二路2號8樓,07-2388603,養護,40(含插2管36床),89.06,22.6374277,120.3133895
11,私立,高雄市私立珍心老人長期照顧中心(養護型),林幸櫻,三民,高雄市三民區建工路445號1樓,07-3806101,養護,40(含插2管20床),104.08,22.6492774,120.323754
12,私立,高雄市私立新珍心老人長期照顧中心(養護型),丁顗修,三民,高雄市三民區建工路445號2樓,07-3806101,養護,42(含插2管20床),105.06,22.6492774,120.323754
13,私立,高雄市私立長生老人養護中心,郭亨政,三民,高雄市三民區清華街33號1-4樓,07-3898521,養護,31(含插2管15床),95.11,22.643811,120.343237
14,私立,高雄市私立安心老人長期照顧中心(養護型),吳明峰,三民,高雄市三民區凱歌路161號1樓,07-2223077,養護,38(含插2管15床),102.06,22.6372288,120.3172792
15,私立,高雄市私立昭和養護之家,張仁美,三民,高雄市三民區達勇里九如二路295號1-5樓,07-3222749,養護,40(含插2管20床),94.11,22.6408554,120.3054705
16,私立,高雄市私立新東海老人長期照顧中心(養護型),張榮志,三民,高雄市三民區鼎中路218號1-2樓,07-3471231,養護,49(含插2管24床),102.03,22.6630828,120.3192644
17,私立,高雄市私立新榮總養護中心,陳閃,三民,高雄市三民區鼎金後路536號1樓,07-3476243,養護,49(含插2管6床),95.05,22.6728052,120.3227607
18,私立,高雄市私立德安養護之家,李憲宗,三民,高雄市三民區德行里博愛一路55號11樓,07-3121010,養護,47(含插2管15床),88.09,22.642798,120.302637
19,私立,高雄市私立慈融老人長期照顧中心(養護型),李宗融,三民,高雄市三民區德西里中華二路213號,07-3223278,養護,42(含插2管21床),97.03,22.644047,120.291179
20,私立,高雄市私立安泰老人長期照顧中心(養護型),汪文誠,三民,高雄市三民區寶玉里大昌二路268號4樓,07-3817130,長照,49(含插2管24床),99.12,22.646341,120.332373
21,私立,高雄市私立大昌老人長期照顧中心(養護型),劉?豪,三民,高雄市三民區寶玉里大昌二路346號2、3樓,07-3835495,養護,36(含插2管10床),97.11,22.6478507,120.3320292
22,私立,高雄市私立立昌老人長期照顧中心(養護型),李慧芳,三民,高雄市三民區寶玉里大昌二路346號4、5樓,07-3835495,養護,31(含插2管15床),97.11,22.6478507,120.3320292
23,私立,高雄市私立佛心老人長期照顧中心(養護型),陳盈好,三民,高雄市三民區寶安街62號1-2樓,07-3873677,養護,49(含差2管20床),102.1,22.640998,120.3309729
24,私立,高雄市私立菩心老人長期照顧中心（養護型）,王太南,大社,高雄市大社區學府路196號1樓,07-3561393,養護,48(含插2管24床),99.08,22.737001,120.3796801
25,私立,高雄市私立福安老人養護中心,李宏志,大寮,高雄市大寮區中興里中正路3之1號,07-7816000,養護,46(含插2管15床),95.03,22.618748,120.3878084
26,私立,高雄市私立慈安老人長期照顧中心（養護型）,許擇良,大寮,高雄市大寮區中興里中正路3之48號1樓,07-7818088,養護,46(含插2管15床),101.04,22.6187641,120.388175
27,私立,財團法人高雄市私立張簡秋風社會福利慈善事業基金會附設高雄市私立松喬老人養護中心,黃碧霞,大寮,高雄市大寮區內坑里內坑路77之36號B1-3樓,07-7830789,養護,110(含插2管30床),92.06,22.5811374,120.4057578
28,私立,財團法人高雄市私立永安老人養護中心,陳廖梅芳,大寮,高雄市大寮區過溪里濃中街12號1-5樓,07-7881876,養護,45(含插2管20床),85.05,22.5751413,120.4140282
29,私立,高雄市私立真安老人長期照顧中心(養護型),林寶安,大寮,高雄市大寮區八德路570號1樓（含夾層）,07-7027779,養護,48(含插2管24床),104.07,22.6314057,120.4024462
30,私立,財團法人台灣省私立高雄仁愛之家,張雅玲,大寮,高雄市大寮區後庄里民順街1號,07-7037380、07-7012839,安養,52,66.05,22.6391085,120.3980599
30,私立,財團法人台灣省私立高雄仁愛之家,張雅玲,大寮,高雄市大寮區後庄里民順街1號,07-7037380、07-7012839,養護,346(含插2管30床),66.05,22.6391085,120.3980599
31,私立,高雄市私立博仁老人長期照顧中心（長期照護型）,陳正中,大寮,高雄市大寮區九和路23、25號1至2樓,07-6518879,長照,49,105.01,22.6426822,120.4187988
32,私立,高雄市私立千葉老人長期照顧中心(養護型),高淑銘,大樹,高雄市大樹區姑山里姑山路19之1號,07-6565119,養護,46(含插2管22床),101.07,22.7073661,120.437089
33,私立,高雄市私立新樂園老人長期照顧中心（養護型）,高長億,大樹,高雄市大樹區姑山里姑山路19之2號,07-6565119,養護,48(含插2管21床),98.08,22.7054752,120.4346318
34,私立,高雄市私立欣家老人長期照顧中心（養護型）,秋久芳,大樹,高雄市大樹區中山路26號,07-6521155,養護,48,105.12,22.6629063,120.4108214
35,私立,高雄市瑞翁養護之家,潘良騰,小港,高雄市小港區水秀路35號1樓,07-8038600,養護,46(含插2管15床),94.12,22.5648363,120.3667261
36,私立,高雄市私立祥和養護中心,洪比崙,小港,高雄市小港區民益路27號1-6樓,07-8063516,養護,43(含插2管21床),96.12,22.56785,120.347243
37,私立,高雄市私立祐安養護中心,丁顗修,小港,高雄市小港區宏平路292號1-2樓,07-8036565,養護,29(含插2管14床),100.06,22.5699005,120.3612625
38,私立,高雄市私立人慈養護之家,葉春霞,小港,高雄市小港區坪頂里高坪二十三路710、712號1樓,07-8913131,養護,34(含插2管15床),95.04,22.5622197,120.3887041
39,私立,高雄市私立人愛養護之家,洪儷芬,小港,高雄市小港區坪頂里高坪二十三路712號2-3樓,07-8913131,養護,44(含插2管15床),95.04,22.5622527,120.388704
40,私立,高雄市私立傳祐老人長期照顧中心(養護型),  龔威華,小港,高雄市小港區沿海一路377號1至3樓,07-8071593,養護,49(含插2管24床),103.2,22.563399,120.355371
41,私立,高雄市私立康庭老人長期照顧中心(養護型),呂昇賢,小港,高雄市小港區高坪二十街25巷51號1-2樓,07-8913966,養護,40(含插2管15床),101.03,22.5570682,120.3939882
42,私立,高雄市私立中安崇恩老人長期照顧中心(養護型),龔崇玉,小港,高雄市小港區桂園路106號,07-791-5106,養護,49(含插2管24床),104.12,22.5845153,120.3548788
43,私立,高雄市私立大灣家園老人長期照顧中心(養護型),張碧子,仁武,高雄市仁武區仁孝路450巷15號1-4樓,07-3746110,養護,36(含插2管16床),102.04,22.6757969,120.3447042
44,私立,高雄市私立天恩老人長期照顧中心(養護型),劉郁妙,仁武,高雄市仁武區仁勇路95號1-2樓,07-7334967,養護,37(含插2管18床),102.11,22.6748935,120.355968
45,私立,高雄市私立信愛老人養護中心,楊永謀,仁武,高雄市仁武區仁慈里仁慈路85巷18號1-2樓,07-7356110,養護,32(含插2管15床),92.01,22.6730983,120.3573423
46,公設民營,高雄市明山慈安居老人養護中心,洪金吉,仁武,高雄市仁武區考潭里成功路5號1-3樓,07-3722268,養護,90 (含插2管30床),99.09,22.6848318,120.3643089
47,私立,高雄市私立雪美老人養護中心,邱山從,仁武,高雄市仁武區赤山里澄仁西街239號1樓,07-3727063,養護,47(含插2管23床),89.03,22.679654,120.3418996
48,私立,財團法人高雄市私立萃文書院社會福利慈善事業基金會附設萃文佛恩養護院,黃碧恭,內門區,高雄市內門區觀亭里番子路16之10號B1-4樓,07-6671712,養護,180(含插2管90床),94.09,22.9141303,120.45313
49,私立,高雄市私立同心老人長期照顧中心(養護型),陳惠珍,左營,高雄市左營區大中一路430號1-4樓,07-3101122,養護,47(含插2管15床),102.06,22.6785968,120.3194513
50,私立,高雄市私立偉恩老人長期照顧中心(養護型),林志偉,左營,高雄市左營區文恩路200號1-2樓,07-3508037,養護,49(含插2管18床),103.2,22.686248,120.3189873
51,私立,高雄市私立慈祐老人長期照顧中心(養護型),沈采岑,左營,高雄市左營區左營大路554巷7號1-3樓,07-5889035,養護,37(含插2管15床),97.05,22.6901721,120.2965505
52,私立,高雄市私立大福心老人長期照顧中心(養護型),蔡孟憲,左營,高雄市左營區左營大路56號1樓,07-5818877,養護,38(含插2管16床),103.12,22.681305,120.288014
53,私立,高雄市私立福心老人長期照顧中心(養護型),陳修輝,左營,高雄市左營區左營大路56-1號1 樓,07-5818877,養護,38(含插2管16床),103.09,22.681305,120.288014
54,私立,高雄市私立小福心老人長期照顧中心(養護型),丁金石,左營,高雄市左營區左營大路56號2樓,07-5818877,養護,48(含插2管20床),104.08,22.681305,120.288014
55,私立,高雄市私立長群老人長期照顧中心(養護型),曹世昌,左營,高雄市左營區重忠路155號1-5樓,07-3427181,養護,28(含插2管14床),105.10.,22.690564,120.314198
56,私立,高雄市私立日光樂家老人長期照顧中心（養護型）,蔡幸君,左營,高雄市左營區博愛四路250號2樓,07-3482999,養護,41(含插2管15床),100.07,22.6852957,120.3145797
57,私立,高雄市私立博愛老人養護中心,林煙,左營,高雄市左營區博愛四路377號1樓,07-3456116,養護,38(含插2管14床),89.09,22.686657,120.31562
58,私立,高雄市私立安康養護之家,康橘,左營,高雄市左營區曾子路211號1樓,07-3461008,養護,44(含插2管16床),90.01,22.6780961,120.308621
59,私立,高雄市私立新如意養護之家,麥鐀方,左營,高雄市左營區福山里民族一路1167號1、2樓,07-3101731,養護,38(含插2管19床),94.02,22.6865961,120.320363
60,私立,高雄市私立新吉祥養護之家,張雪琴,左營,高雄市左營區福山里民族一路1167號3、4樓,07-3422435,養護,45(含插2管22床),94.02,22.6865961,120.320363
61,私立,高雄市私立冠仁老人長期照顧中心（養護型）,李宏德,左營,高雄市左營區文上路116號1樓,07-5523201,養護,48(含插2管24床),105.03,22.6729691,120.3018395
62,私立,高雄市私立睿祥老人長期照顧中心(養護型),林玉婕,左營,高雄市左營區孔營路1號1樓,07-5880101,養護,43(含插2管20床),105.07,22.6881469,120.2971596
63,私立,高雄市私立日賀老人長期照顧中心(養護型),余昕庭,左營,高雄市左營區博愛四路250號1樓,07-3482999,養護,40(含插2管15床),105.08,22.6852957,120.3145797
64,私立,高雄市私立博愛老人長期照顧中心（養護型）,林煙,岡山,高雄市岡山區前鋒里阿公店路3段226號1樓,07-6251515,養護,49,97.02,22.8026194,120.2784546
65,私立,高雄市私立親育園老人養護中心,李虹慧,林園,高雄市林園區鳳林路3段127號1樓,07-6466535,養護,43(含插2管20床),92.01,22.5196579,120.3959371
66,私立,高雄市私立祐德老人長期照顧中心（養護型）,黃萬吉,林園,高雄市林園區鳳林路2段700號1至3樓,07-6436751,養護,49(含插2管24床),105.1,22.5108856,120.3960428
67,私立,財團法人高雄市私立淨覺社會福利慈善事業基金會附設高雄市私立淨覺老人養護中心,蔡碩堂,阿蓮區,高雄市阿蓮區復安里9鄰復安95之70號B1-2樓,07-6333720,養護,132(含插2管32床),95.09,22.8492838,120.3245264
68,私立,高雄市私立孝升老人長期照顧中心(養護型),林鴻坤,前金,高雄市前金區七賢二路256號1-6樓,07-3211018,養護,49(含插2管23床),93.05,22.6322314,120.2923954
69,私立,高雄市私立安安養護之家,曾琇琴,前金,高雄市前金區中正四路105號3-4樓,07-2412956,長照,10,89.02,22.629679,120.297872
69,私立,高雄市私立安安養護之家,曾琇琴,前金,高雄市前金區中正四路105號3-4樓,07-2412956,養護,37(含插2管14床),89.02,22.629679,120.297872
70,私立,高雄市私立大順老人長期照顧中心（養護型）,莊鍾梅樹,前金,高雄市前金區北金里七賢二路220-8號1-5樓,07-2015501,養護,48(含插2管15床),92.02,22.632751,120.293838
71,私立,高雄市私立健生老人養護中心,游珮玲,前金,高雄市前金區新生里七賢二路426號3樓,07-2614912,養護,48(含插2管20床),88.06,22.6307146,120.2877854
72,私立,高雄市私立合信老人長期照顧中心（養護型）,鄭麗雪,前鎮,高雄市前鎮區竹中里和平二路203號11樓,07-7220726,養護,36(含插2管16床),98.03,22.6129523,120.3223804
73,私立,高雄市私立雙喜老人長期照顧中心（養護型）,蘇美惠,前鎮,高雄市前鎮區竹中里和平二路205、207號10樓,07-7224765,養護,47(含插2管23床),98.12,22.6129819,120.322379
74,私立,高雄市私立親親老人長期照顧中心（養護型）,蘇月娥,前鎮,高雄市前鎮區竹中里和平二路205、207號5樓,07-7220251,養護,46(含插2管23床),102.07,22.6129819,120.322379
75,私立,高雄市私立安仁老人長期照顧中心(養護型),董家宏,前鎮,高雄市前鎮區和平二路203、205、207號4樓,07-7226456,養護,49(含插2管24床),97.01,22.6129523,120.3223804
76,私立,高雄市私立心橋老人長期照顧中心（養護型）,蘇美珍,前鎮,高雄市前鎮區和平二路203、205號3樓,07-7224765,養護,39(含插2管19床),100.2,22.6129523,120.3223804
77,私立,高雄市私立全人老人長期照顧心(養護型),鄭名珊,前鎮,高雄市前鎮區和平二路203號6樓,07-7529775,養護,31(含插2管13床),101.1,22.6129523,120.3223804
78,私立,高雄市私立安和老人長期照顧中心（養護型）,董論,前鎮,高雄市前鎮區和平二路205、207號12樓,07-7226456,養護,49(含插2管24床),97.1,22.6129819,120.322379
79,私立,高雄市私立和信老人長期照顧中心（養護型）,郭淑滿,前鎮,高雄市前鎮區和平二路207號6樓、203號7樓,07-7220726,養護,47(含插2管20床),101.01,22.6130118,120.322379
80,私立,高雄市私立幸福一家老人長期照顧中心（養護型）,孫安成,前鎮,高雄市前鎮區明正里漁港路93之1號,07-8157277,養護,49(含插2管24床),100.12,22.5822,120.323935
81,私立,高雄市私立耀群老人長期照顧中心(養護型),張峰紫,前鎮,高雄市前鎮區瑞北里瑞北路241號1-2樓,07-7171168,養護,47(含插2管23床),89.09,22.6086847,120.3284727
82,私立,高雄市私立順心老人長期照顧中心（養護型）,丁顗修,前鎮,高雄市前鎮區瑞豐里瑞隆路591號1、2樓,07-7270011,養護,35(含插2管15床),102.06,22.6049742,120.3262062
83,私立,高雄市私立溫心養護中心,陳修輝,前鎮,高雄市前鎮區廣西路200號1-3樓,07-3339696,養護,49(含插2管20床),94.01,22.615645,120.317689
84,私立,高雄市私立上和老人長期照顧中心(養護型),林韋全,前鎮,高雄市前鎮區草衙中街95號,07-8127575,養護,38(含插2管15床),104.08,22.578812,120.320838
85,私立,高雄市私立愛欣老人養護中心,古煥輝,美濃,高雄市美濃區中圳里泰安路249巷2之1號1樓,07-6813958,養護,34(含插2管6床),89.08,22.9036298,120.5436007
86,私立,高雄市私立吉園老人養護中心,余邱招蘭,美濃,高雄市美濃區吉和里四維50之1號1樓,07-6832379,養護,47(含插2管20床),90.03,22.8509141,120.527263
87,私立,財團法人高雄市私立愛心老人養護中心,溫和琴,美濃,高雄市美濃區泰安路249巷2之2號1-3樓,07-6813958,養護,99(含插2管36床),92.03,22.9037161,120.544112
88,私立,高雄市私立新效堂老人養護中心,鍾淨卉,美濃,高雄市美濃區獅山里獅山街35號1樓,07-6850588,養護,22(含插2管8床),90.04,22.872453,120.569836
89,私立,高雄市私立惠心老人養護之家,陳瑞枝,美濃,高雄市美濃區祿興里中興路1段49巷5號1樓,07-6850826,養護,49(含插2管24床),91.06,22.882115,120.5579285
90,私立,財團法人高雄市私立日新老人長期照顧中心（養護型）,曾清文,美濃,高雄市美濃區德興里忠孝路1段219號1樓,07-6815800,養護,83(含插2管30床),103.12,22.8797381,120.5287918
91,私立,高雄市私立康乃心老人長期照顧中心(養護型),劉茂男,美濃,高雄市美濃區中圳里泰中路207號,07-6822033,養護,44,105.12,22.9023376,120.5472526
92,私立,信義醫療財團法人附設高雄市私立方舟養護之家,莊東傑,苓雅,高雄市苓雅區成功一路135巷26號1-5樓,07-3321111#273,養護,86(含插2管42床),90.07,22.6143685,120.2966806
93,私立,高雄市私立吉翁養護之家,陳明香,苓雅,高雄市苓雅區建軍里澄清路200號1-2樓,07-7470522,養護,46(含插2管23床),89.1,22.6336352,120.3446312
94,私立,高雄市私立新立養護中心,鄭銘權,苓雅,高雄市苓雅區意誠里三多四路63號9樓之7,07-3301000,養護,37(含插2管18床),89.12,22.612865,120.301721
95,私立,高雄市私立芳園老人長期照顧中心(養護型),劉晉豪,苓雅,高雄市苓雅區文山路142號,07-7470306,養護,48(含插2管24床),104.07,22.6287305,120.3401336
96,私立,高雄市私立慈善園老人養護中心,陳瑞芝,鳥松,高雄市鳥松區大同路2之115號1樓,07-7334113,養護,44(含插2管22床),95.08,22.6569235,120.3777654
97,私立,高雄市私立大同老人長期照顧中心（養護型）,王秀鳳,鳥松,高雄市鳥松區?埔里大同路8號1樓,07-7336188,養護,49(含插2管18床),98.01,22.6583665,120.3826634
98,私立,財團法人高雄市私立宏仁老人長期照顧中心(養護型),莊桂錦,鳥松,高雄市鳥松區神農路971巷96號1-2樓,07-6512656,養護,60(含插2管30床),104.12,22.6494341,120.4008116
99,私立,高雄市私立健康老人長期照顧中心（養護型）,曾文志,鳥松,高雄市鳥松區鳥松里東山路橫一巷3號1樓,07-7321129,養護,48(含插2管16床),97.05,22.6700342,120.3667151
100,私立,高雄市私立圓山老人養護中心,王森本,鳥松,高雄市鳥松區圓山路27號1樓,07-3709676,養護,24(含插2管6床),88.1,22.6562458,120.3448576
101,私立,高雄市私立欣緣老人長期照顧中心（養護型）,葉禕廷,鳥松,高雄市鳥松區神農路150巷81號,07-7313030,養護,43(含插2管20床),105.04,22.6595273,120.3672261
102,私立,高雄市私立怡園老人養護中心,林文雄,湖內,高雄市湖內區中山路1段402巷8弄35號1-2樓,07-6935989,養護,39(含插2管18床),89.06,22.8820945,120.2474227
103,私立,高雄市私立湖內老人養護之家,陳春惠,湖內,高雄市湖內區中正路1段315巷22號1樓,07-6990472,養護,47(含插2管23床),96.08,22.9078744,120.2197959
104,私立,高雄市私立慈慧老人長期照顧中心（養護型）,蕭如君,湖內,高雄市湖內區田尾里中山路1段496巷300號1樓,07-6938505,養護,32(含插2管16床),97.09,22.8957853,120.2436523
105,私立,高雄市私立家恩老人長期照顧中心（養護型）,蕭秀蘭,新興,高雄市新興區秋山里民主路26號2樓、3樓,07-2862079,養護,49(含插2管24床),97.01,22.6332115,120.2999282
106,私立,財團法人高雄市私立濟眾老人養護中心,楊芙媄,楠梓,高雄市楠梓區加昌路298號1.3.4.5.7.8樓,07-3639437,長照,20,85.02,22.7206503,120.3119764
106,私立,財團法人高雄市私立濟眾老人養護中心,楊芙媄,楠梓,高雄市楠梓區加昌路298號1.3.4.5.7.8樓,07-3639437,養護,118(含插2管30床),85.02,22.7206503,120.3119764
107,私立,高雄市私立小護士老人長期照顧中心（養護型）,翁仁輝,楠梓,高雄市楠梓區後昌路837巷11號1-2樓,07-3647101,養護,20(含插2管10床),105.11,22.7117081,120.294615
108,私立,高雄市私立崇祐老人長期照顧中心（養護型）,龔明聰,楠梓,高雄市楠梓區常德路317巷9弄29號,07-3516260,養護,34,102.07,22.736801,120.3364084
109,私立,高雄市私立吉仁養護中心,廖月琴,楠梓,高雄市楠梓區清豐里34鄰清平街51巷2號1-3樓,07-3531408,養護,18(含插2管5床),88.06,22.736666,120.338736
110,私立,高雄市私立崇恩老人長期照顧中心（養護型）,龔明聰,楠梓,高雄市楠梓區清豐里立仁街131號、133號5樓,07-3539619,養護,49(含插2管10床),99.07,22.7409991,120.3354165
111,私立,高雄市私立怡泉老人長期照顧中心（養護型）,曹世昌,楠梓,高雄市楠梓區盛昌街255巷100號1-4樓,07-3685535,養護,30(含插2管15床),101.11,22.716314,120.287242
